file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,103,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,104,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,105,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,14
style.css,106,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,14
style.css,107,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,16
style.css,108,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,109,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,16
style.css,110,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,111,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,112,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,7
style.css,113,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,12
style.css,114,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,57
style.css,115,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,7
style.css,116,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,11
style.css,117,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,16
style.css,118,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,60
style.css,119,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,19
style.css,120,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,15
style.css,121,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,122,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,123,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,12
style.css,124,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,12
style.css,125,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,18
style.css,126,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,9
style.css,127,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,128,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,129,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,7
style.css,130,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,20
style.css,131,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,11
style.css,132,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,18
style.css,133,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,23
style.css,134,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,17
style.css,135,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,136,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,137,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,16
style.css,138,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,12
style.css,139,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,18
style.css,140,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,7
style.css,141,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,16
style.css,142,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,143,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,144,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,24
style.css,145,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,6
style.css,146,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,147,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,148,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,16
style.css,149,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,12
style.css,150,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,18
style.css,151,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,7
style.css,152,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,16
style.css,153,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,154,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,155,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,24
style.css,156,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,6
style.css,157,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,158,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,159,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,10
style.css,160,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,13
style.css,161,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,10
style.css,162,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,14
style.css,163,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,18
style.css,164,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,20
style.css,165,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,12
style.css,166,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,60
style.css,167,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,19
style.css,168,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
